feature,group,mean,std,median,min,max,q25,q75
feature_54,cntrl,0.0355836972148961,0.035417825112349734,0.02474186870077098,0.0009078321874727263,0.5636213320269623,0.01422872671117815,0.04360735384894178
feature_55,alz,0.006838724373694886,0.0074436389901108065,0.004892301073277355,0.00020359243804096255,0.20104545006598334,0.0030572079425288806,0.007939133887173613
feature_55,cntrl,0.006994506268093578,0.005211534638562807,0.005678936900843872,0.0004079551596481433,0.11603559735831205,0.003688376539046319,0.008775289992213647
feature_56,alz,0.889606777361261,0.07736073826329587,0.9105989735840869,0.07631434347009844,0.993208512536427,0.8591588124607209,0.9430371805882735
feature_56,cntrl,0.8388629195562614,0.12032567920436597,0.8731148893583832,0.033458590231414544,0.9917782283792564,0.7890724775996425,0.9252100233167639
feature_57,alz,0.06835911009343959,0.04827119399590833,0.05616630495113329,0.0033990118000280954,0.5730197253259784,0.03470090672112476,0.08776955886088778
feature_57,cntrl,0.0619257890152895,0.04342489966153974,0.05087602853950986,0.003598256439621606,0.4925623637303073,0.032370038012478244,0.07831703197172153
feature_58,alz,0.036426899537719166,0.04320500628485227,0.022020599661230923,0.0010825492019984888,0.6670230038337932,0.012571972906557084,0.04255173491159413
feature_58,cntrl,0.0915711919814288,0.1001779406218559,0.055090951978406265,0.0014730712788546213,0.9103137837892975,0.02505247372049755,0.12118743282452984
feature_59,alz,0.0056072130075801715,0.0044905902507980655,0.004483479680727599,0.0003201429903464872,0.13516752981451405,0.0028942866913224787,0.006876990642299113
feature_59,cntrl,0.007640099447020346,0.005160873268797373,0.006347633427292152,0.0004376857677665455,0.07130900933390404,0.004128778439290357,0.009706536377541906
feature_60,alz,0.8884212838511257,0.07945887785128877,0.9092679602548777,0.06455551207466752,0.99254044129602,0.8577166903206379,0.9429600964797951
feature_60,cntrl,0.8557516099599443,0.10228954486847502,0.8833476651004859,0.07913587912320165,0.9931382351199809,0.8120059622690645,0.9292618996013451
feature_61,alz,0.06799267799197303,0.04843500110645716,0.05556082665850281,0.003320119988506461,0.558267031162665,0.03453132344191649,0.08737506913590133
feature_61,cntrl,0.06003086082386437,0.041654381106782705,0.049299943562991805,0.0038193543762755537,0.47037537513834166,0.031283200157800076,0.07703558424596058
feature_62,alz,0.037907404605461395,0.04648802439576584,0.02251194448986499,0.0009966203563210674,0.8585007409125446,0.012806651982234494,0.04335566513667917
feature_62,cntrl,0.07716529644663783,0.07959914558682657,0.04940993901522244,0.001178376240548341,0.793042397967831,0.02357744118094297,0.10262494633276066
feature_63,alz,0.005678633551439801,0.004727098360285351,0.004451397570332625,0.00031864097090741385,0.09979327313899503,0.002885417983725578,0.006909064004680234
feature_63,cntrl,0.007052232769553553,0.00483333906840506,0.005843823240345214,0.0004964212554065277,0.05864455972140451,0.0037992747804332207,0.008906996406486758
feature_64,alz,0.9050697372589983,0.0654540027013109,0.921925602682244,0.090378111832584,0.9942393019537101,0.8787248525547047,0.9497196628076665
feature_64,cntrl,0.9040563155637288,0.06577952643786941,0.921006761601468,0.13207627753395065,0.994090449118038,0.8771637933957243,0.949264313287409
feature_65,alz,0.06698839528649612,0.04948042272384307,0.05348099490468159,0.00206873257547285,0.5070939274115751,0.03338413442733812,0.08531996388083862
feature_65,cntrl,0.05706326002383096,0.039180991599337106,0.04687414254217622,0.0034442966086633887,0.4655347680880074,0.029957666310971597,0.07275436101961823
feature_66,alz,0.02307857304654124,0.025444628138735395,0.016479158507147373,0.001011182491111189,0.7157686471839501,0.009907339777034764,0.027490078468957905
feature_66,cntrl,0.03346366921212532,0.03674694504237977,0.02216389700769291,0.0012077934881447772,0.6752645407040617,0.012596618968664347,0.040458592524621015
