Subject,Fold,Model,Accuracy
sub-59,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,XGBoost,0.5000
sub-59,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,SVM,0.5027
sub-59,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,MLP_(Neural_Network),0.4997
sub-60,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,KNN,0.4914
sub-60,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,XGBoost,0.5000
sub-60,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,SVM,0.5027
sub-60,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,MLP_(Neural_Network),0.4997
sub-61,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,KNN,0.5441
sub-61,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,XGBoost,0.4720
sub-61,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,SVM,0.4529
sub-61,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,MLP_(Neural_Network),0.4626
sub-62,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,KNN,0.5441
sub-62,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,XGBoost,0.4720
sub-62,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,SVM,0.4529
sub-62,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,MLP_(Neural_Network),0.4626
sub-63,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,KNN,0.5441
sub-63,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,XGBoost,0.4720
sub-63,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,SVM,0.4529
sub-63,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,MLP_(Neural_Network),0.4626
sub-64,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,KNN,0.6326
sub-64,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,XGBoost,0.6707
sub-64,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,SVM,0.6133
sub-64,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,MLP_(Neural_Network),0.4694
sub-65,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,KNN,0.6326
sub-65,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,XGBoost,0.6707
sub-65,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,SVM,0.6133
sub-65,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,MLP_(Neural_Network),0.4694
